Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Classifying Colorectal Cancer by Tumor Location Rather than Sidedness Highlights a Continuum in Mutation Profiles and Consensus Molecular Subtypes.","/pubmed/29180604","Loree JM, Pereira AAL, Lam M, Willauer AN, Raghav K, Dasari A, Morris VK, Advani S, Menter DG, Eng C, Shaw K, Broaddus R, Routbort MJ, Liu Y, Morris JS, Luthra R, Meric-Bernstam F, Overman MJ, Maru D, Kopetz S.","Clin Cancer Res. 2018 Mar 1;24(5):1062-1072. doi: 10.1158/1078-0432.CCR-17-2484. Epub 2017 Nov 27.","Clin Cancer Res.  2018","PubMed","citation","PMID:29180604 | PMCID:PMC5844818","pubmed","29180604","create date:2017/11/29 | first author:Loree JM",
"One stage surgery for synchronous liver metastasis from a neuroendocrine tumor of the colon. A case report.","/pubmed/29176078","Tartaglia N, Di Lascia A, Cianci P, Fersini A, Sanguedolce F, Iadarola R, Capuzzolo S, Neri V, Ambrosi A.","Ann Ital Chir. 2017 Nov 20;6. pii: S2239253X17027694.","Ann Ital Chir.  2017","PubMed","citation","PMID:29176078","pubmed","29176078","create date:2017/11/28 | first author:Tartaglia N",
"Long-term outcome and quality of life after initial and repeat resection of colorectal liver metastasis: A retrospective analysis.","/pubmed/29175019","Heise D, Bayings W, Tuinhof A, Eickhoff R, Kroh A, Ulmer F, Dejong CHC, Neumann U, Binnebösel M.","Int J Surg. 2017 Dec;48:281-285. doi: 10.1016/j.ijsu.2017.11.032. Epub 2017 Nov 23.","Int J Surg.  2017","PubMed","citation","PMID:29175019","pubmed","29175019","create date:2017/11/28 | first author:Heise D",
"The impact of primary tumor location in patients with metastatic colorectal cancer: a Korean Cancer Study Group CO12-04 study.","/pubmed/29172407","Byun JH, Ahn JB, Kim SY, Kang JH, Zang DY, Kang SY, Kang MJ, Shim BY, Baek SK, Kim BS, Lee KH, Lee SI, Cho SH, Sohn BS, Kim S, Hwang IG, Nam EM, Seo BG, Oh SC, Lee MA, Lee SC, Hong JH, et al.","Korean J Intern Med. 2019 Jan;34(1):165-177. doi: 10.3904/kjim.2016.348. Epub 2017 Nov 28.","Korean J Intern Med.  2019","PubMed","citation","PMID:29172407 | PMCID:PMC6325446","pubmed","29172407","create date:2017/11/28 | first author:Byun JH",
"Characterization of genetic intratumor heterogeneity in colorectal cancer and matching patient-derived spheroid cultures.","/pubmed/29130628","Árnadóttir SS, Jeppesen M, Lamy P, Bramsen JB, Nordentoft I, Knudsen M, Vang S, Madsen MR, Thastrup O, Thastrup J, L Andersen C.","Mol Oncol. 2018 Jan;12(1):132-147. doi: 10.1002/1878-0261.12156. Epub 2017 Nov 27.","Mol Oncol.  2018","PubMed","citation","PMID:29130628 | PMCID:PMC5748486","pubmed","29130628","create date:2017/11/14 | first author:Árnadóttir SS",
"Introduction of the resection severity index as independent risk factor limiting survival after resection of colorectal liver metastases.","/pubmed/29113656","Gwiasda J, Schrem H, Kaltenborn A, Mahlmann J, Mix H, Lehner F, Kayser N, Klempnauer J, Kulik U.","Surg Oncol. 2017 Dec;26(4):382-388. doi: 10.1016/j.suronc.2017.08.002. Epub 2017 Aug 7.","Surg Oncol.  2017","PubMed","citation","PMID:29113656","pubmed","29113656","create date:2017/11/09 | first author:Gwiasda J",
"Prognostic significance of the distribution of lymph node metastasis in rectal cancer after neoadjuvant chemoradiation.","/pubmed/29094377","Lee SY, Kim CH, Kim YJ, Kim HR.","J Surg Oncol. 2018 Mar;117(3):514-522. doi: 10.1002/jso.24871. Epub 2017 Nov 1.","J Surg Oncol.  2018","PubMed","citation","PMID:29094377","pubmed","29094377","create date:2017/11/03 | first author:Lee SY",
"Impact of RAS Mutations in Metastatic Colorectal Cancer After Potentially Curative Resection: Does Site of Metastases Matter?","/pubmed/29071660","Passot G, Kim BJ, Glehen O, Mehran RJ, Kopetz SE, Goere D, Overman MJ, Pocard M, Marchal F, Conrad C, Aloia TA, Vauthey JN, Chun YS; BIG-RENAPE Working Group..","Ann Surg Oncol. 2018 Jan;25(1):179-187. doi: 10.1245/s10434-017-6141-7. Epub 2017 Oct 25.","Ann Surg Oncol.  2018","PubMed","citation","PMID:29071660","pubmed","29071660","create date:2017/10/27 | first author:Passot G",
"Prophylactic lateral pelvic lymph node dissection in stage IV low rectal cancer.","/pubmed/29067278","Tamura H, Shimada Y, Kameyama H, Yagi R, Tajima Y, Okamura T, Nakano M, Nakano M, Nagahashi M, Sakata J, Kobayashi T, Kosugi SI, Nogami H, Maruyama S, Takii Y, Wakai T.","World J Clin Oncol. 2017 Oct 10;8(5):412-419. doi: 10.5306/wjco.v8.i5.412.","World J Clin Oncol.  2017","PubMed","citation","PMID:29067278 | PMCID:PMC5638717","pubmed","29067278","create date:2017/10/27 | first author:Tamura H",
"Liver resection for metastases not of colorectal, neuroendocrine, sarcomatous, or ovarian (NCNSO) origin: A multicentric study.","/pubmed/29061283","Labgaa I, Slankamenac K, Schadde E, Jibara G, Alshebeeb K, Mentha G, Clavien PA, Schwartz M.","Am J Surg. 2018 Jan;215(1):125-130. doi: 10.1016/j.amjsurg.2017.09.030. Epub 2017 Oct 7.","Am J Surg.  2018","PubMed","citation","PMID:29061283","pubmed","29061283","create date:2017/10/25 | first author:Labgaa I",
"Pathologic response after preoperative therapy predicts prognosis of Chinese colorectal cancer patients with liver metastases.","/pubmed/28969708","Wang Y, Yuan YF, Lin HC, Li BK, Wang FH, Wang ZQ, Ding PR, Chen G, Wu XJ, Lu ZH, Pan ZZ, Wan DS, Sun P, Yan SM, Xu RH, Li YH.","Chin J Cancer. 2017 Oct 2;36(1):78. doi: 10.1186/s40880-017-0244-1.","Chin J Cancer.  2017","PubMed","citation","PMID:28969708 | PMCID:PMC5625647","pubmed","28969708","create date:2017/10/04 | first author:Wang Y",
"Repeated Resections of Hepatic and Pulmonary Metastases from Colorectal Cancer Provide Long-Term Survival.","/pubmed/28948336","Bellier J, De Wolf J, Hebbar M, Amrani ME, Desauw C, Leteurtre E, Pruvot FR, Porte H, Truant S.","World J Surg. 2018 Apr;42(4):1171-1179. doi: 10.1007/s00268-017-4265-3.","World J Surg.  2018","PubMed","citation","PMID:28948336","pubmed","28948336","create date:2017/09/28 | first author:Bellier J",
"Oncologic significance of para-aortic lymph node and inferior mesenteric lymph node metastasis in sigmoid and rectal adenocarcinoma.","/pubmed/28935353","Lee SH, Lee JL, Kim CW, Lee HI, Yu CS, Kim JC.","Eur J Surg Oncol. 2017 Nov;43(11):2076-2083. doi: 10.1016/j.ejso.2017.08.014. Epub 2017 Sep 7.","Eur J Surg Oncol.  2017","PubMed","citation","PMID:28935353","pubmed","28935353","create date:2017/09/25 | first author:Lee SH",
"The role of cetuximab in converting initially unresectable colorectal cancer liver metastases for resection.","/pubmed/28927777","Poston G, Adam R, Xu J, Byrne B, Esser R, Malik H, Wasan H, Xu J.","Eur J Surg Oncol. 2017 Nov;43(11):2001-2011. doi: 10.1016/j.ejso.2017.07.021. Epub 2017 Aug 10. Review.","Eur J Surg Oncol.  2017","PubMed","citation","PMID:28927777","pubmed","28927777","create date:2017/09/21 | first author:Poston G",
"Clinical utility of circulating DNA analysis for rapid detection of actionable mutations to select metastatic colorectal patients for anti-EGFR treatment.","/pubmed/28911069","Thierry AR, El Messaoudi S, Mollevi C, Raoul JL, Guimbaud R, Pezet D, Artru P, Assenat E, Borg C, Mathonnet M, De La Fouchardière C, Bouché O, Gavoille C, Fiess C, Auzemery B, Meddeb R, Lopez-Crapez E, Sanchez C, Pastor B, Ychou M.","Ann Oncol. 2017 Sep 1;28(9):2149-2159. doi: 10.1093/annonc/mdx330.","Ann Oncol.  2017","PubMed","citation","PMID:28911069","pubmed","28911069","create date:2017/09/16 | first author:Thierry AR",
"Impact of Metastasectomy in the Multimodality Approach for BRAF V600E Metastatic Colorectal Cancer: The Mayo Clinic Experience.","/pubmed/28904173","Johnson B, Jin Z, Truty MJ, Smoot RL, Nagorney DM, Kendrick ML, Kipp BR, Grothey A.","Oncologist. 2018 Jan;23(1):128-134. doi: 10.1634/theoncologist.2017-0230. Epub 2017 Sep 13.","Oncologist.  2018","PubMed","citation","PMID:28904173 | PMCID:PMC5759813","pubmed","28904173","create date:2017/09/15 | first author:Johnson B",
"Lymph Node Metastasis in the Prognosis of Gastroenteropancreatic Neuroendocrine Tumors.","/pubmed/28902794","Martin JA, Warner RRP, Aronson A, Wisnivesky JP, Kim MK.","Pancreas. 2017 Oct;46(9):1214-1218. doi: 10.1097/MPA.0000000000000921.","Pancreas.  2017","PubMed","citation","PMID:28902794 | PMCID:PMC5658015","pubmed","28902794","create date:2017/09/14 | first author:Martin JA",
"Reactive swelling of the regional lymph nodes in patients with stage II colorectal cancer as a prognostic factor.","/pubmed/28883292","Sato D, Shimoyamada M, Ito Y, Yoshida S, Ishida H, Yamaguchi T, Ohtani H.","Nihon Shokakibyo Gakkai Zasshi. 2017;114(9):1629-1638. doi: 10.11405/nisshoshi.114.1629. Japanese. ","Nihon Shokakibyo Gakkai Zasshi.  2017","PubMed","citation","PMID:28883292","pubmed","28883292","create date:2017/09/09 | first author:Sato D",
"Management of disappearing lesions after chemotherapy for colorectal liver metastases: Relation between detectability and residual tumors.","/pubmed/28876456","Tani K, Shindoh J, Akamatsu N, Arita J, Kaneko J, Sakamoto Y, Hasegawa K, Kokudo N.","J Surg Oncol. 2018 Feb;117(2):191-197. doi: 10.1002/jso.24805. Epub 2017 Sep 6. Erratum in: J Surg Oncol. 2018 Nov;118(6):1058. ","J Surg Oncol.  2018","PubMed","citation","PMID:28876456","pubmed","28876456","create date:2017/09/07 | first author:Tani K",
"Pathological factors and prognosis of resected liver metastases of colorectal carcinoma: implications and proposal for a pathological reporting protocol.","/pubmed/28858385","Fonseca GM, Herman P, Faraj SF, Kruger JAP, Coelho FF, Jeismann VB, Cecconello I, Alves VAF, Pawlik TM, de Mello ES.","Histopathology. 2018 Feb;72(3):377-390. doi: 10.1111/his.13378. Epub 2017 Oct 11. Review.","Histopathology.  2018","PubMed","citation","PMID:28858385","pubmed","28858385","create date:2017/09/01 | first author:Fonseca GM",
"Outcome of colon cancer initially presenting as colon perforation and obstruction.","/pubmed/28841901","Chen TM, Huang YT, Wang GC.","World J Surg Oncol. 2017 Aug 25;15(1):164. doi: 10.1186/s12957-017-1228-y.","World J Surg Oncol.  2017","PubMed","citation","PMID:28841901 | PMCID:PMC5574146","pubmed","28841901","create date:2017/08/27 | first author:Chen TM",
"Rat Model of the Associating Liver Partition and Portal Vein Ligation for Staged Hepatectomy (ALPPS) Procedure.","/pubmed/28829432","Schadde E, Hertl M, Breitenstein S, Beck-Schimmer B, Schläpfer M.","J Vis Exp. 2017 Aug 14;(126). doi: 10.3791/55895.","J Vis Exp.  2017","PubMed","citation","PMID:28829432 | PMCID:PMC5614312","pubmed","28829432","create date:2017/08/23 | first author:Schadde E",
"Deleterious Effect of RAS and Evolutionary High-risk TP53 Double Mutation in Colorectal Liver Metastases.","/pubmed/28767562","Chun YS, Passot G, Yamashita S, Nusrat M, Katsonis P, Loree JM, Conrad C, Tzeng CD, Xiao L, Aloia TA, Eng C, Kopetz SE, Lichtarge O, Vauthey JN.","Ann Surg. 2019 May;269(5):917-923. doi: 10.1097/SLA.0000000000002450.","Ann Surg.  2019","PubMed","citation","PMID:28767562","pubmed","28767562","create date:2017/08/03 | first author:Chun YS",
"Extreme liver resections with preservation of segment 4 only.","/pubmed/28765703","Balzan SMP, Gava VG, Magalhães MA, Dotto ML.","World J Gastroenterol. 2017 Jul 14;23(26):4815-4822. doi: 10.3748/wjg.v23.i26.4815.","World J Gastroenterol.  2017","PubMed","citation","PMID:28765703 | PMCID:PMC5514647","pubmed","28765703","create date:2017/08/03 | first author:Balzan SMP",
"Neuroendocrine Liver Metastasis: Prognostic Implications of Primary Tumor Site on Patients Undergoing Curative Intent Liver Surgery.","/pubmed/28744737","Spolverato G, Bagante F, Aldrighetti L, Poultsides G, Bauer TW, Field RC, Marques HP, Weiss M, Maithel SK, Pawlik TM.","J Gastrointest Surg. 2017 Dec;21(12):2039-2047. doi: 10.1007/s11605-017-3491-1. Epub 2017 Jul 25. Erratum in: J Gastrointest Surg. 2019 Sep 16;:. ","J Gastrointest Surg.  2017","PubMed","citation","PMID:28744737","pubmed","28744737","create date:2017/07/27 | first author:Spolverato G",
"Diagnostic performance of contrast-enhanced CT-scan in sinusoidal obstruction syndrome induced by chemotherapy of colorectal liver metastases: Radio-pathological correlation.","/pubmed/28712693","Cayet S, Pasco J, Dujardin F, Besson M, Orain I, De Muret A, Miquelestorena-Standley E, Thiery J, Genet T, Le Bayon AG.","Eur J Radiol. 2017 Sep;94:180-190. doi: 10.1016/j.ejrad.2017.06.025. Epub 2017 Jul 3.","Eur J Radiol.  2017","PubMed","citation","PMID:28712693","pubmed","28712693","create date:2017/07/18 | first author:Cayet S",
"Is Cure Possible After Sequential Resection of Hepatic and Pulmonary Metastases From Colorectal Cancer?","/pubmed/28709876","Rajakannu M, Magdeleinat P, Vibert E, Ciacio O, Pittau G, Innominato P, SaCunha A, Cherqui D, Morère JF, Castaing D, Adam R.","Clin Colorectal Cancer. 2018 Mar;17(1):41-49. doi: 10.1016/j.clcc.2017.06.006. Epub 2017 Jun 23.","Clin Colorectal Cancer.  2018","PubMed","citation","PMID:28709876","pubmed","28709876","create date:2017/07/16 | first author:Rajakannu M",
"Significance of selected morphological and histopathological parameters of colon tumors as prognostic factors of cancer spread.","/pubmed/28699599","Kamocki ZK, Wodyńska NA, Żurawska JL, Zaręba KP.","Turk J Gastroenterol. 2017 Jul;28(4):248-253. doi: 10.5152/tjg.2017.16734.","Turk J Gastroenterol.  2017","PubMed","citation","PMID:28699599","pubmed","28699599","create date:2017/07/13 | first author:Kamocki ZK",
"Discordance in RAS mutations between primary colon tumor and metastases: a real event or a matter of methodology?","/pubmed/28665451","De Stefano A, Rosanova M, Malapelle U, Martini M, De Falco S, Attademo L, Fiore G, Cenci T, Bellevicine C, De Placido S, Troncone G, Carlomagno C.","Int J Biol Markers. 2017 Oct 31;32(4):e474-e477. doi: 10.5301/ijbm.5000273.","Int J Biol Markers.  2017","PubMed","citation","PMID:28665451","pubmed","28665451","create date:2017/07/01 | first author:De Stefano A",
"The diagnosis of a metastatic breast tumor from ovarian cancer by the succession of a p53 mutation: a case report.","/pubmed/28662703","Mori R, Futamura M, Morimitsu K, Saigo C, Miyazaki T, Yoshida K.","World J Surg Oncol. 2017 Jun 29;15(1):117. doi: 10.1186/s12957-017-1185-5.","World J Surg Oncol.  2017","PubMed","citation","PMID:28662703 | PMCID:PMC5492946","pubmed","28662703","create date:2017/07/01 | first author:Mori R",
"Clinical Case of the Month: A 57-Year-Old Man with an Axillary Mass.","/pubmed/28644156","Desai P, Myers A, Boulmay B, Lopez FA.","J La State Med Soc. 2017 May-Jun;169(3):78-82. Epub 2017 Jun 23. Review.","J La State Med Soc.  2017","PubMed","citation","PMID:28644156","pubmed","28644156","create date:2017/06/24 | first author:Desai P",
"Multidisciplinary approach of colorectal cancer liver metastases.","/pubmed/28638789","Fiorentini G, Sarti D, Aliberti C, Carandina R, Mambrini A, Guadagni S.","World J Clin Oncol. 2017 Jun 10;8(3):190-202. doi: 10.5306/wjco.v8.i3.190. Review.","World J Clin Oncol.  2017","PubMed","citation","PMID:28638789 | PMCID:PMC5465009","pubmed","28638789","create date:2017/06/24 | first author:Fiorentini G",
"Nuclear Expression of GS28 Protein: A Novel Biomarker that Predicts Prognosis in Colorectal Cancers.","/pubmed/28638266","Lee SH, Yoo HJ, Rim DE, Cui Y, Lee A, Jung ES, Oh ST, Kim JG, Kwon OJ, Kim SY, Jeong SW.","Int J Med Sci. 2017 Apr 9;14(6):515-522. doi: 10.7150/ijms.19368. eCollection 2017.","Int J Med Sci.  2017","PubMed","citation","PMID:28638266 | PMCID:PMC5479119","pubmed","28638266","create date:2017/06/24 | first author:Lee SH",
"Treatment Options in Colorectal Liver Metastases: Hepatic Arterial Infusion.","/pubmed/28612017","Zervoudakis A, Boucher T, Kemeny NE.","Visc Med. 2017 Mar;33(1):47-53. doi: 10.1159/000454693. Epub 2017 Feb 3. Review.","Visc Med.  2017","PubMed","citation","PMID:28612017 | PMCID:PMC5465659","pubmed","28612017","create date:2017/06/15 | first author:Zervoudakis A",
"Association Between Prognosis and Tumor Laterality in Early-Stage Colon Cancer.","/pubmed/28594974","Karim S, Brennan K, Nanji S, Berry SR, Booth CM.","JAMA Oncol. 2017 Oct 1;3(10):1386-1392. doi: 10.1001/jamaoncol.2017.1016.","JAMA Oncol.  2017","PubMed","citation","PMID:28594974 | PMCID:PMC5710504","pubmed","28594974","create date:2017/06/09 | first author:Karim S",
"Decision Making in Interventional Oncology: Intra-arterial Therapies for Metastatic Colorectal Cancer-Y90 and Chemoembolization.","/pubmed/28579675","Fairchild AH, White SB.","Semin Intervent Radiol. 2017 Jun;34(2):87-91. doi: 10.1055/s-0037-1601854. Epub 2017 Jun 1. Review.","Semin Intervent Radiol.  2017","PubMed","citation","PMID:28579675 | PMCID:PMC5453773","pubmed","28579675","create date:2017/06/06 | first author:Fairchild AH",
"Long-term outcomes in ypT0 rectal cancers: An international multi-centric investigation on behalf of Italian Society of Surgical Oncology Young Board (YSICO).","/pubmed/28571778","Lorenzon L, Parini D, Rega D, Mellano A, Vigorita V, Biondi A, Jaminez-Rosellon R, Scheiterle M, Giannini I, Gallo G, Marino G, Turati L, Marsanic P, De Franco L, Marano L; Senior SICO Supervising Members(1)., De Luca R.","Eur J Surg Oncol. 2017 Aug;43(8):1472-1480. doi: 10.1016/j.ejso.2017.04.017. Epub 2017 May 19.","Eur J Surg Oncol.  2017","PubMed","citation","PMID:28571778","pubmed","28571778","create date:2017/06/03 | first author:Lorenzon L",
"Associating liver partition and portal vein ligation for staged hepatectomy: A surgical technique for liver resections.","/pubmed/28567071","Sanei B, Sheikhbahaei S, Sanei MH, Bahreini A, Jafari HR.","J Res Med Sci. 2017 Apr 26;22:52. doi: 10.4103/jrms.JRMS_829_16. eCollection 2017.","J Res Med Sci.  2017","PubMed","citation","PMID:28567071 | PMCID:PMC5426088","pubmed","28567071","create date:2017/06/02 | first author:Sanei B",
"Molecular Profiling and Significance of Circulating Tumor Cell Based Genetic Signatures.","/pubmed/28560673","Kanwar N, Done SJ.","Adv Exp Med Biol. 2017;994:143-167. doi: 10.1007/978-3-319-55947-6_8. Review.","Adv Exp Med Biol.  2017","PubMed","citation","PMID:28560673","pubmed","28560673","create date:2017/06/01 | first author:Kanwar N",
"The prognostic impact of primary tumor location in patients undergoing resection for colorectal liver metastasis: A propensity score-matched analysis.","/pubmed/32135772","Goto Y, Adam R, Castro-Benitez C, Ciacio O, Pittau G, Vibert E, Sa-Cunha A, Cherqui D, Castaing D.","Ann Oncol. 2017 Jun;28 Suppl 3:iii141. doi: 10.1093/annonc/mdx262.012. No abstract available. ","Ann Oncol.  2017","PubMed","citation","PMID:32135772","pubmed","32135772","create date:2017/06/01 | first author:Goto Y",
"CPEB4 immunohistochemical expression is associated to prognosis in stage IV colorectal carcinoma.","/pubmed/28551384","Cortés-Guiral D, Pastor-Iodate C, Díaz Del Arco C, Del Puerto-Nevado L, Fernández-Aceñero MJ.","Pathol Res Pract. 2017 Jun;213(6):639-642. doi: 10.1016/j.prp.2017.04.020. Epub 2017 May 6.","Pathol Res Pract.  2017","PubMed","citation","PMID:28551384","pubmed","28551384","create date:2017/05/30 | first author:Cortés-Guiral D",
"Population-based study to re-evaluate optimal lymph node yield in colonic cancer.","/pubmed/28542954","Del Paggio JC, Peng Y, Wei X, Nanji S, MacDonald PH, Krishnan Nair C, Booth CM.","Br J Surg. 2017 Jul;104(8):1087-1096. doi: 10.1002/bjs.10540. Epub 2017 May 24.","Br J Surg.  2017","PubMed","citation","PMID:28542954","pubmed","28542954","create date:2017/05/26 | first author:Del Paggio JC",
"[A Case Report on a Successful Resection after FOLFIRI plus Cetuximab Therapy for Unresectable Colorectal Cancer with Multiple Liver Metastases].","/pubmed/28536339","Kanamori M, Kurumiya Y, Mizuno K, Sekoguchi E, Kobayashi S, Fukami Y, Kiriyama M, Aoyama H, Oiwa T, Miyamura K, Jinno T, Nakashima Y, Mori M.","Gan To Kagaku Ryoho. 2017 May;44(5):417-420. Japanese. ","Gan To Kagaku Ryoho.  2017","PubMed","citation","PMID:28536339","pubmed","28536339","create date:2017/05/26 | first author:Kanamori M",
"Prognostic Analysis of 102 Patients with Synchronous Colorectal Cancer and Liver Metastases Treated with Simultaneous Resection.","/pubmed/28524826","Zhang YF, Mao R, Chen X, Zhao JJ, Bi XY, Li ZY, Zhou JG, Zhao H, Huang Z, Sun YK, Cai JQ.","Chin Med J (Engl). 2017 Jun 5;130(11):1283-1289. doi: 10.4103/0366-6999.206349.","Chin Med J (Engl).  2017","PubMed","citation","PMID:28524826 | PMCID:PMC5455036","pubmed","28524826","create date:2017/05/20 | first author:Zhang YF",
"Impact of MLH1 expression on tumor evolution after curative surgical tumor resection in a murine orthotopic xenograft model for human MSI colon cancer.","/pubmed/28512763","Meunier K, Ferron M, Calmel C, Fléjou JF, Pocard M, Praz F.","Genes Chromosomes Cancer. 2017 Sep;56(9):681-690. doi: 10.1002/gcc.22472. Epub 2017 Jun 12.","Genes Chromosomes Cancer.  2017","PubMed","citation","PMID:28512763","pubmed","28512763","create date:2017/05/18 | first author:Meunier K",
"Future perspectives of circulating tumor DNA in colorectal cancer.","/pubmed/28488528","Nadal C, Winder T, Gerger A, Tougeron D.","Tumour Biol. 2017 May;39(5):1010428317705749. doi: 10.1177/1010428317705749. Review.","Tumour Biol.  2017","PubMed","citation","PMID:28488528","pubmed","28488528","create date:2017/05/11 | first author:Nadal C",
"Streamline flow of the portal vein affects the lobar distribution of colorectal liver metastases and has a clinical impact on survival.","/pubmed/28480180","Rhu J, Heo JS, Choi SH, Choi DW, Kim JM, Joh JW, Kwon CHD.","Ann Surg Treat Res. 2017 May;92(5):348-354. doi: 10.4174/astr.2017.92.5.348. Epub 2017 Apr 27.","Ann Surg Treat Res.  2017","PubMed","citation","PMID:28480180 | PMCID:PMC5416919","pubmed","28480180","create date:2017/05/10 | first author:Rhu J",
"Local recurrences at the anastomotic area are clonally related to the primary tumor in sporadic colorectal carcinoma.","/pubmed/28476018","Vakiani E, Shah RH, Berger MF, Makohon-Moore AP, Reiter JG, Ostrovnaya I, Attiyeh MA, Cercek A, Shia J, Iacobuzio-Donahue CA, Solit DB, Weiser MR.","Oncotarget. 2017 Jun 27;8(26):42487-42494. doi: 10.18632/oncotarget.17200.","Oncotarget.  2017","PubMed","citation","PMID:28476018 | PMCID:PMC5522082","pubmed","28476018","create date:2017/05/06 | first author:Vakiani E",
"In vivo genome editing and organoid transplantation models of colorectal cancer and metastasis.","/pubmed/28459449","Roper J, Tammela T, Cetinbas NM, Akkad A, Roghanian A, Rickelt S, Almeqdadi M, Wu K, Oberli MA, Sánchez-Rivera FJ, Park YK, Liang X, Eng G, Taylor MS, Azimi R, Kedrin D, Neupane R, Beyaz S, Sicinska ET, Suarez Y, Yoo J, Chen L, et al.","Nat Biotechnol. 2017 Jun;35(6):569-576. doi: 10.1038/nbt.3836. Epub 2017 May 1. Erratum in: Nat Biotechnol. 2017 Dec 8;35(12 ):1211. ","Nat Biotechnol.  2017","PubMed","citation","PMID:28459449 | PMCID:PMC5462879","pubmed","28459449","create date:2017/05/02 | first author:Roper J",
"Clinical Features and Outcomes of Patients with Colorectal Cancers Harboring NRAS Mutations.","/pubmed/28446505","Cercek A, Braghiroli MI, Chou JF, Hechtman JF, Kemeny N, Saltz L, Capanu M, Yaeger R.","Clin Cancer Res. 2017 Aug 15;23(16):4753-4760. doi: 10.1158/1078-0432.CCR-17-0400. Epub 2017 Apr 26.","Clin Cancer Res.  2017","PubMed","citation","PMID:28446505 | PMCID:PMC5788017","pubmed","28446505","create date:2017/04/28 | first author:Cercek A",
"Associating Liver Partition and Portal vein ligation for Staged hepatectomy after pre-operative chemotherapy.","/pubmed/28419692","Vondran FWR, Oldhafer F, Ringe KI, Wirth TC, Kleine M, Jäger MD, Klempnauer J, Bektas H.","ANZ J Surg. 2018 Apr;88(4):E324-E328. doi: 10.1111/ans.13944. Epub 2017 Apr 16.","ANZ J Surg.  2018","PubMed","citation","PMID:28419692","pubmed","28419692","create date:2017/04/19 | first author:Vondran FWR",
"Exosomal microRNAs isolated from plasma of mesenteric veins linked to liver metastases in resected patients with colon cancer.","/pubmed/28415718","Monzo M, Santasusagna S, Moreno I, Martinez F, Hernández R, Muñoz C, Castellano JJ, Moreno J, Navarro A.","Oncotarget. 2017 May 9;8(19):30859-30869. doi: 10.18632/oncotarget.16103.","Oncotarget.  2017","PubMed","citation","PMID:28415718 | PMCID:PMC5458173","pubmed","28415718","create date:2017/04/19 | first author:Monzo M",
"Post-pulmonary metastasectomy prognosis after curative resection for colorectal cancer.","/pubmed/28402263","Kim JY, Park IJ, Kim HR, Kim DK, Lee JL, Yoon YS, Kim CW, Lim SB, Lee JB, Yu CS, Kim JC.","Oncotarget. 2017 May 30;8(22):36566-36577. doi: 10.18632/oncotarget.16616.","Oncotarget.  2017","PubMed","citation","PMID:28402263 | PMCID:PMC5482677","pubmed","28402263","create date:2017/04/13 | first author:Kim JY",
"[Cetuximab in association with an oxaliplatin-based chemotherapy as first-line treatment of metastatic colorectal cancer.]","/pubmed/28398406","Petrelli F, Ghidini A, Zaniboni A.","Recenti Prog Med. 2017 Mar;108(3):128-135. doi: 10.1701/2656.27235. Review. Italian. ","Recenti Prog Med.  2017","PubMed","citation","PMID:28398406","pubmed","28398406","create date:2017/04/12 | first author:Petrelli F",
"Predictors of Lymph Node Metastasis and Prognosis in pT1 Colorectal Cancer Patients with Signet-Ring Cell and Mucinous Adenocarcinomas.","/pubmed/28365687","Song BR, Xiao CC, Wu ZK.","Cell Physiol Biochem. 2017;41(5):1753-1765. doi: 10.1159/000471868. Epub 2017 Mar 31.","Cell Physiol Biochem.  2017","PubMed","citation","PMID:28365687","pubmed","28365687","create date:2017/04/04 | first author:Song BR",
"Can molecular biomarkers replace a clinical risk score for resectable colorectal liver metastasis?","/pubmed/28344745","Veen T, Søreide K.","World J Gastrointest Oncol. 2017 Mar 15;9(3):98-104. doi: 10.4251/wjgo.v9.i3.98.","World J Gastrointest Oncol.  2017","PubMed","citation","PMID:28344745 | PMCID:PMC5348630","pubmed","28344745","create date:2017/03/28 | first author:Veen T",
"Use of Imaging to Predict Complete Response of Colorectal Liver Metastases after Chemotherapy: MR Imaging versus CT Imaging.","/pubmed/28327002","Park MJ, Hong N, Han K, Kim MJ, Lee YJ, Park YS, Rha SE, Park S, Lee WJ, Park SH, Lee CH, Nam CM, An C, Kim HJ, Kim H, Park MS.","Radiology. 2017 Aug;284(2):423-431. doi: 10.1148/radiol.2017161619. Epub 2017 Mar 22.","Radiology.  2017","PubMed","citation","PMID:28327002","pubmed","28327002","create date:2017/03/23 | first author:Park MJ",
"[Colorectal cancer the importance of primary tumor location].","/pubmed/28325052","Ryska M, Bauer J.","Rozhl Chir. Winter 2017;96(1):4-8. Czech. ","Rozhl Chir.  Wint","PubMed","citation","PMID:28325052","pubmed","28325052","create date:2017/03/23 | first author:Ryska M",
