Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Impact of RAS Mutations in Metastatic Colorectal Cancer After Potentially Curative Resection: Does Site of Metastases Matter?","/pubmed/29071660","Passot G, Kim BJ, Glehen O, Mehran RJ, Kopetz SE, Goere D, Overman MJ, Pocard M, Marchal F, Conrad C, Aloia TA, Vauthey JN, Chun YS; BIG-RENAPE Working Group..","Ann Surg Oncol. 2018 Jan;25(1):179-187. doi: 10.1245/s10434-017-6141-7. Epub 2017 Oct 25.","Ann Surg Oncol.  2018","PubMed","citation","PMID:29071660","pubmed","29071660","create date:2017/10/27 | first author:Passot G",
"The role of cetuximab in converting initially unresectable colorectal cancer liver metastases for resection.","/pubmed/28927777","Poston G, Adam R, Xu J, Byrne B, Esser R, Malik H, Wasan H, Xu J.","Eur J Surg Oncol. 2017 Nov;43(11):2001-2011. doi: 10.1016/j.ejso.2017.07.021. Epub 2017 Aug 10. Review.","Eur J Surg Oncol.  2017","PubMed","citation","PMID:28927777","pubmed","28927777","create date:2017/09/21 | first author:Poston G",
"Impact of Metastasectomy in the Multimodality Approach for BRAF V600E Metastatic Colorectal Cancer: The Mayo Clinic Experience.","/pubmed/28904173","Johnson B, Jin Z, Truty MJ, Smoot RL, Nagorney DM, Kendrick ML, Kipp BR, Grothey A.","Oncologist. 2018 Jan;23(1):128-134. doi: 10.1634/theoncologist.2017-0230. Epub 2017 Sep 13.","Oncologist.  2018","PubMed","citation","PMID:28904173 | PMCID:PMC5759813","pubmed","28904173","create date:2017/09/15 | first author:Johnson B",
"Deleterious Effect of RAS and Evolutionary High-risk TP53 Double Mutation in Colorectal Liver Metastases.","/pubmed/28767562","Chun YS, Passot G, Yamashita S, Nusrat M, Katsonis P, Loree JM, Conrad C, Tzeng CD, Xiao L, Aloia TA, Eng C, Kopetz SE, Lichtarge O, Vauthey JN.","Ann Surg. 2019 May;269(5):917-923. doi: 10.1097/SLA.0000000000002450.","Ann Surg.  2019","PubMed","citation","PMID:28767562","pubmed","28767562","create date:2017/08/03 | first author:Chun YS",
"Discordance in RAS mutations between primary colon tumor and metastases: a real event or a matter of methodology?","/pubmed/28665451","De Stefano A, Rosanova M, Malapelle U, Martini M, De Falco S, Attademo L, Fiore G, Cenci T, Bellevicine C, De Placido S, Troncone G, Carlomagno C.","Int J Biol Markers. 2017 Oct 31;32(4):e474-e477. doi: 10.5301/ijbm.5000273.","Int J Biol Markers.  2017","PubMed","citation","PMID:28665451","pubmed","28665451","create date:2017/07/01 | first author:De Stefano A",
"The diagnosis of a metastatic breast tumor from ovarian cancer by the succession of a p53 mutation: a case report.","/pubmed/28662703","Mori R, Futamura M, Morimitsu K, Saigo C, Miyazaki T, Yoshida K.","World J Surg Oncol. 2017 Jun 29;15(1):117. doi: 10.1186/s12957-017-1185-5.","World J Surg Oncol.  2017","PubMed","citation","PMID:28662703 | PMCID:PMC5492946","pubmed","28662703","create date:2017/07/01 | first author:Mori R",
"Clinical Case of the Month: A 57-Year-Old Man with an Axillary Mass.","/pubmed/28644156","Desai P, Myers A, Boulmay B, Lopez FA.","J La State Med Soc. 2017 May-Jun;169(3):78-82. Epub 2017 Jun 23. Review.","J La State Med Soc.  2017","PubMed","citation","PMID:28644156","pubmed","28644156","create date:2017/06/24 | first author:Desai P",
"Treatment Options in Colorectal Liver Metastases: Hepatic Arterial Infusion.","/pubmed/28612017","Zervoudakis A, Boucher T, Kemeny NE.","Visc Med. 2017 Mar;33(1):47-53. doi: 10.1159/000454693. Epub 2017 Feb 3. Review.","Visc Med.  2017","PubMed","citation","PMID:28612017 | PMCID:PMC5465659","pubmed","28612017","create date:2017/06/15 | first author:Zervoudakis A",
"[A Case Report on a Successful Resection after FOLFIRI plus Cetuximab Therapy for Unresectable Colorectal Cancer with Multiple Liver Metastases].","/pubmed/28536339","Kanamori M, Kurumiya Y, Mizuno K, Sekoguchi E, Kobayashi S, Fukami Y, Kiriyama M, Aoyama H, Oiwa T, Miyamura K, Jinno T, Nakashima Y, Mori M.","Gan To Kagaku Ryoho. 2017 May;44(5):417-420. Japanese. ","Gan To Kagaku Ryoho.  2017","PubMed","citation","PMID:28536339","pubmed","28536339","create date:2017/05/26 | first author:Kanamori M",
"Impact of MLH1 expression on tumor evolution after curative surgical tumor resection in a murine orthotopic xenograft model for human MSI colon cancer.","/pubmed/28512763","Meunier K, Ferron M, Calmel C, Fléjou JF, Pocard M, Praz F.","Genes Chromosomes Cancer. 2017 Sep;56(9):681-690. doi: 10.1002/gcc.22472. Epub 2017 Jun 12.","Genes Chromosomes Cancer.  2017","PubMed","citation","PMID:28512763","pubmed","28512763","create date:2017/05/18 | first author:Meunier K",
"In vivo genome editing and organoid transplantation models of colorectal cancer and metastasis.","/pubmed/28459449","Roper J, Tammela T, Cetinbas NM, Akkad A, Roghanian A, Rickelt S, Almeqdadi M, Wu K, Oberli MA, Sánchez-Rivera FJ, Park YK, Liang X, Eng G, Taylor MS, Azimi R, Kedrin D, Neupane R, Beyaz S, Sicinska ET, Suarez Y, Yoo J, Chen L, et al.","Nat Biotechnol. 2017 Jun;35(6):569-576. doi: 10.1038/nbt.3836. Epub 2017 May 1. Erratum in: Nat Biotechnol. 2017 Dec 8;35(12 ):1211. ","Nat Biotechnol.  2017","PubMed","citation","PMID:28459449 | PMCID:PMC5462879","pubmed","28459449","create date:2017/05/02 | first author:Roper J",
"Can molecular biomarkers replace a clinical risk score for resectable colorectal liver metastasis?","/pubmed/28344745","Veen T, Søreide K.","World J Gastrointest Oncol. 2017 Mar 15;9(3):98-104. doi: 10.4251/wjgo.v9.i3.98.","World J Gastrointest Oncol.  2017","PubMed","citation","PMID:28344745 | PMCID:PMC5348630","pubmed","28344745","create date:2017/03/28 | first author:Veen T",
"How accurate are medical oncologists' impressions of management of metastatic colorectal cancer in Australia?","/pubmed/28299879","Au L, Turner N, Wong HL, Field K, Lee B, Boadle D, Cooray P, Karikios D, Kosmider S, Lipton L, Nott L, Parente P, Tie J, Tran B, Wong R, Yip D, Shapiro J, Gibbs P.","Asia Pac J Clin Oncol. 2018 Apr;14(2):e167-e174. doi: 10.1111/ajco.12671. Epub 2017 Mar 16.","Asia Pac J Clin Oncol.  2018","PubMed","citation","PMID:28299879","pubmed","28299879","create date:2017/03/17 | first author:Au L",
"Portal Vein Embolization: Impact of Chemotherapy and Genetic Mutations.","/pubmed/28257031","Deipolyi AR, Zhang YS, Khademhosseini A, Naidu S, Borad M, Sahin B, Mathur AK, Oklu R.","J Clin Med. 2017 Mar 1;6(3). pii: E26. doi: 10.3390/jcm6030026.","J Clin Med.  2017","PubMed","citation","PMID:28257031 | PMCID:PMC5372995","pubmed","28257031","create date:2017/03/04 | first author:Deipolyi AR",
"Rechallenge and maintenance therapy using cetuximab and chemotherapy administered to a patient with metastatic colorectal cancer.","/pubmed/28196490","Ma J, Yang QL, Ling Y.","BMC Cancer. 2017 Feb 14;17(1):132. doi: 10.1186/s12885-017-3133-8.","BMC Cancer.  2017","PubMed","citation","PMID:28196490 | PMCID:PMC5310018","pubmed","28196490","create date:2017/02/16 | first author:Ma J",
"[A Case of Unresectable Advanced Rectal Cancer with a Pancreatic Tumor That Was Successfully Treated with FOLFIRINOX].","/pubmed/28133357","Yabe N, Murai S, Ozawa H, Yokose T, Oto I, Yoshikawa T, Kitasato K, Shimizu H, Kojima K, Hasegawa H, Kitagawa Y.","Gan To Kagaku Ryoho. 2016 Nov;43(12):2468-2470. Japanese. ","Gan To Kagaku Ryoho.  2016","PubMed","citation","PMID:28133357","pubmed","28133357","create date:2017/01/31 | first author:Yabe N",
"Totally laparoscopic anatomical liver resection for centrally located tumors: A single center experience.","/pubmed/28121916","Kim WJ, Kim KH, Shin MH, Yoon YI, Lee SG.","Medicine (Baltimore). 2017 Jan;96(4):e5560. doi: 10.1097/MD.0000000000005560.","Medicine (Baltimore).  2017","PubMed","citation","PMID:28121916 | PMCID:PMC5287940","pubmed","28121916","create date:2017/01/26 | first author:Kim WJ",
"Detection of Sessile Serrated Adenomas in the Proximal Colon Using Wide-Field Fluorescence Endoscopy.","/pubmed/28012848","Joshi BP, Dai Z, Gao Z, Lee JH, Ghimire N, Chen J, Prabhu A, Wamsteker EJ, Kwon RS, Elta GH, Stoffel EM, Pant A, Kaltenbach T, Soetikno RM, Appelman HD, Kuick R, Turgeon DK, Wang TD.","Gastroenterology. 2017 Apr;152(5):1002-1013.e9. doi: 10.1053/j.gastro.2016.12.009. Epub 2016 Dec 22.","Gastroenterology.  2017","PubMed","citation","PMID:28012848 | PMCID:PMC5771498","pubmed","28012848","create date:2016/12/26 | first author:Joshi BP",
"Recent Advances in Chemotherapy and Surgery for Colorectal Liver Metastases.","/pubmed/27995091","Passot G, Soubrane O, Giuliante F, Zimmitti G, Goéré D, Yamashita S, Vauthey JN.","Liver Cancer. 2016 Nov;6(1):72-79. Epub 2016 Nov 29. Review.","Liver Cancer.  2016","PubMed","citation","PMID:27995091 | PMCID:PMC5159720","pubmed","27995091","create date:2016/12/21 | first author:Passot G",
"[Changes of diagnosis and treatment for gastrointestinal stromal tumors during a 18-year period in four medical centers of China].","/pubmed/27928797","Qiu H, Zhang P, Feng X, Chen T, Sun X, Yu J, Chen Z, Li Y, Tao K, Li G, Zhou Z.","Zhonghua Wei Chang Wai Ke Za Zhi. 2016 Nov 25;19(11):1265-1270. Chinese. ","Zhonghua Wei Chang Wai Ke Za Zhi.  2016","PubMed","citation","PMID:27928797","pubmed","27928797","create date:2016/12/09 | first author:Qiu H",
"[A Case of Early Anal Canal Cancer with Pagetoid Spread with Different Antitumor Effects of Chemotherapy on Different Metastatic Sites].","/pubmed/27760964","Yoshimatsu K, Osawa G, Yokomizo H, Yano Y, Okayama S, Sakuma A, Satake M, Yamada Y, Asaka S, Usui T, Yamaguchi K, Shiozawa S, Shimakawa T, Katsube T, Naritaka Y.","Gan To Kagaku Ryoho. 2016 Oct;43(10):1292-1294. Japanese. ","Gan To Kagaku Ryoho.  2016","PubMed","citation","PMID:27760964","pubmed","27760964","create date:2016/10/21 | first author:Yoshimatsu K",
"Treatment of Metastatic Colorectal Cancer Patients ≥75 Years Old in Clinical Practice: A Multicenter Analysis.","/pubmed/27442239","Grande R, Natoli C, Ciancola F, Gemma D, Pellegrino A, Pavese I, Garufi C, Di Lauro L, Corsi D, Signorelli D, Sperduti I, Cortese G, Risi E, Morano F, Sergi D, Signorelli C, Ruggeri EM, Zampa G, Russano M, Gamucci T.","PLoS One. 2016 Jul 21;11(7):e0157751. doi: 10.1371/journal.pone.0157751. eCollection 2016.","PLoS One.  2016","PubMed","citation","PMID:27442239 | PMCID:PMC4956101","pubmed","27442239","create date:2016/07/22 | first author:Grande R",
"Patterns of progression, treatment of progressive disease and post-progression survival in the New EPOC study.","/pubmed/27434036","Pugh SA, Bowers M, Ball A, Falk S, Finch-Jones M, Valle JW, O'Reilly DA, Siriwardena AK, Hornbuckle J, Rees M, Rees C, Iveson T, Hickish T, Maishman T, Stanton L, Dixon E, Corkhill A, Radford M, Garden OJ, Cunningham D, Maughan TS, Bridgewater JA, et al.","Br J Cancer. 2016 Aug 9;115(4):420-4. doi: 10.1038/bjc.2016.208. Epub 2016 Jul 19.","Br J Cancer.  2016","PubMed","citation","PMID:27434036 | PMCID:PMC4985352","pubmed","27434036","create date:2016/07/20 | first author:Pugh SA",
"Prognostic Implication of KRAS Status after Hepatectomy for Colorectal Liver Metastases Varies According to Primary Colorectal Tumor Location.","/pubmed/27352204","Sasaki K, Margonis GA, Wilson A, Kim Y, Buettner S, Andreatos N, Gani F, Amini N, Spolverato G, Pawlik TM.","Ann Surg Oncol. 2016 Oct;23(11):3736-3743. doi: 10.1245/s10434-016-5361-6. Epub 2016 Jun 28.","Ann Surg Oncol.  2016","PubMed","citation","PMID:27352204","pubmed","27352204","create date:2016/06/29 | first author:Sasaki K",
"Codon 13 KRAS mutation predicts patterns of recurrence in patients undergoing hepatectomy for colorectal liver metastases.","/pubmed/27244540","Margonis GA, Kim Y, Sasaki K, Samaha M, Amini N, Pawlik TM.","Cancer. 2016 Sep 1;122(17):2698-707. doi: 10.1002/cncr.30085. Epub 2016 May 31.","Cancer.  2016","PubMed","citation","PMID:27244540","pubmed","27244540","create date:2016/06/01 | first author:Margonis GA",
"Glycolysis gene expression analysis and selective metabolic advantage in the clinical progression of colorectal cancer.","/pubmed/26927284","Graziano F, Ruzzo A, Giacomini E, Ricciardi T, Aprile G, Loupakis F, Lorenzini P, Ongaro E, Zoratto F, Catalano V, Sarti D, Rulli E, Cremolini C, De Nictolis M, De Maglio G, Falcone A, Fiorentini G, Magnani M.","Pharmacogenomics J. 2017 Jun;17(3):258-264. doi: 10.1038/tpj.2016.13. Epub 2016 Mar 1.","Pharmacogenomics J.  2017","PubMed","citation","PMID:26927284","pubmed","26927284","create date:2016/03/02 | first author:Graziano F",
"Right Sided Colon Cancer as a Distinct Histopathological Subtype with Reduced Prognosis.","/pubmed/26824772","Nitsche U, Stögbauer F, Späth C, Haller B, Wilhelm D, Friess H, Bader FG.","Dig Surg. 2016;33(2):157-63. doi: 10.1159/000443644. Epub 2016 Jan 30.","Dig Surg.  2016","PubMed","citation","PMID:26824772","pubmed","26824772","create date:2016/01/30 | first author:Nitsche U",
"KRAS Mutation Status Predicts Site-Specific Recurrence and Survival After Resection of Colorectal Liver Metastases Irrespective of Location of the Primary Lesion.","/pubmed/26786089","Shindoh J, Nishioka Y, Yoshioka R, Sugawara T, Sakamoto Y, Hasegawa K, Hashimoto M, Kokudo N.","Ann Surg Oncol. 2016 Jun;23(6):1890-6. doi: 10.1245/s10434-016-5087-5. Epub 2016 Jan 19.","Ann Surg Oncol.  2016","PubMed","citation","PMID:26786089","pubmed","26786089","create date:2016/01/21 | first author:Shindoh J",
"BRAF Mutation Testing and Metastatic Colorectal Cancer in the Community Setting: Is There an Urgent Need for More Education?","/pubmed/26714964","Price TJ, Beeke C, Townsend AR, Lo L, Amitesh R, Padbury R, Roder D, Maddern G, Moore J, Karapetis C.","Mol Diagn Ther. 2016 Feb;20(1):75-82. doi: 10.1007/s40291-015-0179-7.","Mol Diagn Ther.  2016","PubMed","citation","PMID:26714964","pubmed","26714964","create date:2015/12/31 | first author:Price TJ",
"Hepatic resection, hepatic arterial infusion pump therapy, and genetic biomarkers in the management of hepatic metastases from colorectal cancer.","/pubmed/26697204","McAuliffe JC, Qadan M, D'Angelica MI.","J Gastrointest Oncol. 2015 Dec;6(6):699-708. doi: 10.3978/j.issn.2078-6891.2015.081. Review.","J Gastrointest Oncol.  2015","PubMed","citation","PMID:26697204 | PMCID:PMC4671858","pubmed","26697204","create date:2015/12/24 | first author:McAuliffe JC",
"Impact of somatic mutations on patterns of metastasis in colorectal cancer.","/pubmed/26697197","Lipsyc M, Yaeger R.","J Gastrointest Oncol. 2015 Dec;6(6):645-9. doi: 10.3978/j.issn.2078-6891.2015.045. Review.","J Gastrointest Oncol.  2015","PubMed","citation","PMID:26697197 | PMCID:PMC4671855","pubmed","26697197","create date:2015/12/24 | first author:Lipsyc M",
"Mismatch repair deficiency concordance between primary colorectal cancer and corresponding metastasis.","/pubmed/26666765","Haraldsdottir S, Roth R, Pearlman R, Hampel H, Arnold CA, Frankel WL.","Fam Cancer. 2016 Apr;15(2):253-60. doi: 10.1007/s10689-015-9856-2.","Fam Cancer.  2016","PubMed","citation","PMID:26666765","pubmed","26666765","create date:2015/12/17 | first author:Haraldsdottir S",
"Management of resectable colorectal lung metastases.","/pubmed/26659389","Moorcraft SY, Ladas G, Bowcock A, Chau I.","Clin Exp Metastasis. 2016 Mar;33(3):285-96. doi: 10.1007/s10585-015-9774-6. Epub 2015 Dec 10. Review.","Clin Exp Metastasis.  2016","PubMed","citation","PMID:26659389","pubmed","26659389","create date:2015/12/15 | first author:Moorcraft SY",
"Multidisciplinary approach and anesthetic management of a surgical cancer patient with methylene tetrahydrofolate reductase deficiency: a case report and review of the literature.","/pubmed/26289647","Cascella M, Arcamone M, Morelli E, Viscardi D, Russo V, De Franciscis S, Belli A, Accardo R, Caliendo D, De Luca E, Di Caprio B, Di Sauro F, Giannoni G, Iermano C, Maciariello M, Marracino M, Cuomo A.","J Med Case Rep. 2015 Aug 20;9:175. doi: 10.1186/s13256-015-0662-0. Review. Erratum in: J Med Case Rep. 2015;9:218. Cascella, Marco Mc [corrected to Cascella, Marco]; Arcamone, Manuela Ma [corrected to Arcamone, Manuela]; Morelli, Emanuela Em [corrected to Morelli, Emanuela]; Viscardi, Daniela Dv [corrected to Viscardi, Daniela]; Russo, Viera Vr [corrected to Russo, Vie. ","J Med Case Rep.  2015","PubMed","citation","PMID:26289647 | PMCID:PMC4546078","pubmed","26289647","create date:2015/08/21 | first author:Cascella M",
"Durable recurrence-free survival after pneumonectomy for late lung metastasis from rectal cancer: case report with genetic and epigenetic analyses.","/pubmed/26231173","Imperatori A, Rotolo N, Dominioni L, Nardecchia E, Cattoni M, Cimetti L, Riva C, Sessa F, Furlan D.","BMC Cancer. 2015 Aug 1;15:567. doi: 10.1186/s12885-015-1585-2.","BMC Cancer.  2015","PubMed","citation","PMID:26231173 | PMCID:PMC4522059","pubmed","26231173","create date:2015/08/02 | first author:Imperatori A",
"[Late complete response after long remission from treatment with FOLFIRI-aflibercept for metastatic colorectal cancer after progression to FOLFOX-bevacizumab].","/pubmed/26228865","De Divitiis C, Cassata A, Nasti G, Ottaiano A, Nappi A, Barretta ML, Iaffaioli RV.","Recenti Prog Med. 2015 Aug;106(8):e407-13. doi: 10.1701/1960.21312. Italian. ","Recenti Prog Med.  2015","PubMed","citation","PMID:26228865","pubmed","26228865","create date:2015/08/01 | first author:De Divitiis C",
"Current controversies in the management of metastatic colorectal cancer.","/pubmed/26113053","Vera R, Alonso V, Gállego J, González E, Guillén-Ponce C, Pericay C, Rivera F, Safont MJ, Valladares-Ayerbes M.","Cancer Chemother Pharmacol. 2015 Oct;76(4):659-77. doi: 10.1007/s00280-015-2808-6. Epub 2015 Jun 26. Review.","Cancer Chemother Pharmacol.  2015","PubMed","citation","PMID:26113053","pubmed","26113053","create date:2015/06/27 | first author:Vera R",
"A Case Report of Long-Term Survival following Hepatic Arterial Infusion of L-Folinic Acid Modulated 5-Fluorouracil Combined with Intravenous Irinotecan and Cetuximab Followed by Hepatectomy in a Patient with Initially Unresectable Colorectal Liver Metastases.","/pubmed/26064730","Van Bael K, Jansen Y, Seremet T, Engels B, Delvaux G, Neyns B.","Case Rep Oncol Med. 2015;2015:472037. doi: 10.1155/2015/472037. Epub 2015 May 6.","Case Rep Oncol Med.  2015","PubMed","citation","PMID:26064730 | PMCID:PMC4438152","pubmed","26064730","create date:2015/06/13 | first author:Van Bael K",
"Is Progression-Free Survival the Right End Point in Trials of Patients With Clearly Resectable, Borderline Resectable, and Unresectable Liver-Limited Colorectal Cancer?","/pubmed/26033812","Köhne CH.","J Clin Oncol. 2015 Jul 20;33(21):2406-7. doi: 10.1200/JCO.2014.60.7044. Epub 2015 Jun 1. No abstract available. ","J Clin Oncol.  2015","PubMed","citation","PMID:26033812","pubmed","26033812","create date:2015/06/03 | first author:Köhne CH",
"Comprehensive models of human primary and metastatic colorectal tumors in immunodeficient and immunocompetent mice by chemokine targeting.","/pubmed/26006007","Chen HJ, Sun J, Huang Z, Hou H Jr, Arcilla M, Rakhilin N, Joe DJ, Choi J, Gadamsetty P, Milsom J, Nandakumar G, Longman R, Zhou XK, Edwards R, Chen J, Chen KY, Bu P, Wang L, Xu Y, Munroe R, Abratte C, Miller AD, et al.","Nat Biotechnol. 2015 Jun;33(6):656-60. doi: 10.1038/nbt.3239. Epub 2015 May 25.","Nat Biotechnol.  2015","PubMed","citation","PMID:26006007 | PMCID:PMC4532544","pubmed","26006007","create date:2015/05/26 | first author:Chen HJ",
"Distinctive Spatiotemporal Stability of Somatic Mutations in Metastasized Microsatellite-stable Colorectal Cancer.","/pubmed/25786087","Jesinghaus M, Wolf T, Pfarr N, Muckenhuber A, Ahadova A, Warth A, Goeppert B, Sers C, Kloor M, Endris V, Stenzinger A, Weichert W.","Am J Surg Pathol. 2015 Aug;39(8):1140-7. doi: 10.1097/PAS.0000000000000423.","Am J Surg Pathol.  2015","PubMed","citation","PMID:25786087","pubmed","25786087","create date:2015/03/19 | first author:Jesinghaus M",
"[Mixed adenoneuroendocrine carcinoma with multiple liver metastases successfully treated by cetuximab/CPT-11 chemotherapy followed by curative resection - a case report].","/pubmed/25731451","Tani K, Seyama Y, Inada K, Matsuoka Y, Takahashi M, Tanizawa T, Warabi M, Nasu K, Wada I, Maeshiro T, Miyamoto S, Umekita N.","Gan To Kagaku Ryoho. 2014 Nov;41(12):2145-7. Japanese. ","Gan To Kagaku Ryoho.  2014","PubMed","citation","PMID:25731451","pubmed","25731451","create date:2015/03/04 | first author:Tani K",
"[A case of metastatic colorectal cancer that reduced in size after re-challenging with an anti-EGFR monoclonal antibody].","/pubmed/25731325","Fukunaga M, Nakata K, Babaya A, Shimizu K, Ishigaki T, Ebihara T, Okubo S, Kato F, Amano K, Hoshino H, Kawabata R, Yamamura J, Kamigaki S, Usui A, Ikeda N, Yamamoto T, Kawase T, Kimura Y, Ohzato H.","Gan To Kagaku Ryoho. 2014 Nov;41(12):1773-5. Japanese. ","Gan To Kagaku Ryoho.  2014","PubMed","citation","PMID:25731325","pubmed","25731325","create date:2015/03/04 | first author:Fukunaga M",
"Inter- and intra-tumor profiling of multi-regional colon cancer and metastasis.","/pubmed/25623536","Kogita A, Yoshioka Y, Sakai K, Togashi Y, Sogabe S, Nakai T, Okuno K, Nishio K.","Biochem Biophys Res Commun. 2015 Feb 27;458(1):52-6. doi: 10.1016/j.bbrc.2015.01.064. Epub 2015 Jan 24.","Biochem Biophys Res Commun.  2015","PubMed","citation","PMID:25623536","pubmed","25623536","create date:2015/01/28 | first author:Kogita A",
"Conversion Therapy Using mFOLFOX6 With Panitumumab for Unresectable Liver Metastases From Multiple Colorectal Cancers With Familial Adenomatous Polyposis.","/pubmed/25437589","Toiyama Y, Inoue Y, Kitajima T, Okigami M, Kawamura M, Kawamoto A, Okugawa Y, Hiro J, Tanaka K, Mohri Y, Kusunoki M.","Int Surg. 2014 Nov-Dec;99(6):795-801. doi: 10.9738/INTSURG-D-13-00125.1.","Int Surg.  2014","PubMed","citation","PMID:25437589 | PMCID:PMC4254242","pubmed","25437589","create date:2014/12/02 | first author:Toiyama Y",
"Update on the role of imaging in management of metastatic colorectal cancer.","/pubmed/25384292","Tirumani SH, Kim KW, Nishino M, Howard SA, Krajewski KM, Jagannathan JP, Cleary JM, Ramaiya NH, Shinagare AB.","Radiographics. 2014 Nov-Dec;34(7):1908-28. doi: 10.1148/rg.347130090. Review.","Radiographics.  2014","PubMed","citation","PMID:25384292 | PMCID:PMC4386871","pubmed","25384292","create date:2014/11/11 | first author:Tirumani SH",
"Resection of liver metastases from colorectal mucinous adenocarcinoma: is this a different disease? Results of a case-control study.","/pubmed/25379857","Viganò L, Russolillo N, Ferrero A, De Rosa G, Ferreri E, Forchino F, Sperti E, Capussotti L.","Ann Surg. 2014 Nov;260(5):878-84; discussion 884-5. doi: 10.1097/SLA.0000000000000981.","Ann Surg.  2014","PubMed","citation","PMID:25379857","pubmed","25379857","create date:2014/11/08 | first author:Viganò L",
"Mixed adenoneuroendocrine carcinoma of the colon: molecular pathogenesis and treatment.","/pubmed/25275049","Vanacker L, Smeets D, Hoorens A, Teugels E, Algaba R, Dehou MF, De Becker A, Lambrechts D, De Greve J.","Anticancer Res. 2014 Oct;34(10):5517-21.","Anticancer Res.  2014","PubMed","citation","PMID:25275049","pubmed","25275049","create date:2014/10/03 | first author:Vanacker L",
"KRAS mutation influences recurrence patterns in patients undergoing hepatic resection of colorectal metastases.","/pubmed/25155157","Kemeny NE, Chou JF, Capanu M, Gewirtz AN, Cercek A, Kingham TP, Jarnagin WR, Fong YC, DeMatteo RP, Allen PJ, Shia J, Ang C, Vakiani E, D'Angelica MI.","Cancer. 2014 Dec 15;120(24):3965-71. doi: 10.1002/cncr.28954. Epub 2014 Aug 25.","Cancer.  2014","PubMed","citation","PMID:25155157 | PMCID:PMC4574496","pubmed","25155157","create date:2014/08/27 | first author:Kemeny NE",
"Recurrence patterns after resection of liver metastases from colorectal cancer.","/pubmed/25103010","Sorbye H.","Recent Results Cancer Res. 2014;203:243-52. doi: 10.1007/978-3-319-08060-4_17. Review.","Recent Results Cancer Res.  2014","PubMed","citation","PMID:25103010","pubmed","25103010","create date:2014/08/12 | first author:Sorbye H",
"Efficacy of cetuximab in metastatic colon cancer - case report.","/pubmed/24956345","Grigorean VT, Ciuhu AN, Rahnea Nita G, Strambu V, Straja DN, Popescu M, Sandu AM, Rahnea Nita RA.","Chirurgia (Bucur). 2014 May-Jun;109(3):383-9.","Chirurgia (Bucur).  2014","PubMed","citation","PMID:24956345","pubmed","24956345","create date:2014/06/24 | first author:Grigorean VT",
"Prognostic implication of mucinous histology in resected colorectal cancer liver metastases.","/pubmed/24856126","Lupinacci RM, Mello ES, Coelho FF, Kruger JA, Perini MV, Pinheiro RS, Fonseca GM, Cecconello I, Herman P.","Surgery. 2014 Jun;155(6):1062-8. doi: 10.1016/j.surg.2014.01.011. Epub 2014 Feb 5.","Surgery.  2014","PubMed","citation","PMID:24856126","pubmed","24856126","create date:2014/05/27 | first author:Lupinacci RM",
"BRAF mutation predicts for poor outcomes after metastasectomy in patients with metastatic colorectal cancer.","/pubmed/24737664","Yaeger R, Cercek A, Chou JF, Sylvester BE, Kemeny NE, Hechtman JF, Ladanyi M, Rosen N, Weiser MR, Capanu M, Solit DB, D'Angelica MI, Vakiani E, Saltz LB.","Cancer. 2014 Aug 1;120(15):2316-24. doi: 10.1002/cncr.28729. Epub 2014 Apr 15.","Cancer.  2014","PubMed","citation","PMID:24737664 | PMCID:PMC4928876","pubmed","24737664","create date:2014/04/17 | first author:Yaeger R",
"Molecular and immunohistochemical profile of a basaloid (cloacogenic) carcinoma of the sigmoid colon: possible predictive value for clinical outcomes.","/pubmed/24584270","Gurzu S, Szentirmay Z, Bara T, Bara T Jr, Iurcsuk O, Jung I.","Eur J Gastroenterol Hepatol. 2014 May;26(5):570-3. doi: 10.1097/MEG.0000000000000064.","Eur J Gastroenterol Hepatol.  2014","PubMed","citation","PMID:24584270","pubmed","24584270","create date:2014/03/04 | first author:Gurzu S",
"Ezrin expression and cell survival regulation in colorectal cancer.","/pubmed/24462708","Leiphrakpam PD, Rajput A, Mathiesen M, Agarwal E, Lazenby AJ, Are C, Brattain MG, Chowdhury S.","Cell Signal. 2014 May;26(5):868-79. doi: 10.1016/j.cellsig.2014.01.014. Epub 2014 Jan 22.","Cell Signal.  2014","PubMed","citation","PMID:24462708 | PMCID:PMC3974425","pubmed","24462708","create date:2014/01/28 | first author:Leiphrakpam PD",
"[Recurrent rectal cancer with multiple liver and lung metastases treated effectively with oxaliplatin and capecitabine plus bevacizumab chemotherapy-a case report].","/pubmed/24393938","Yabe N, Murai S, Shimizu H, Kitasato K, Yoshikawa T, Oto I, Nakadai J, Hasegawa H, Kitagawa Y.","Gan To Kagaku Ryoho. 2013 Nov;40(12):1834-6. Japanese. ","Gan To Kagaku Ryoho.  2013","PubMed","citation","PMID:24393938","pubmed","24393938","create date:2014/01/08 | first author:Yabe N",
