Title,Description,ShortDetails,Identifiers,EntrezUID
Primary tumor sidedness has an impact on prognosis and treatment outcome in metastatic colorectal cancer: results from two randomized first-line panitumumab studies.,"Boeckx N, Koukakis R, Op de Beeck K, Rolfo C, Van Camp G, Siena S, Tabernero J, Douillard JY, André T, Peeters M.",Ann Oncol.  2017,PMID:28449055 | PMCID:PMC5834073,28449055
A novel hand-assisted laparoscopic versus conventional laparoscopic right hemicolectomy for right colon cancer: study protocol for a randomized controlled trial.,"Yang X, Wu Q, Jin C, He W, Wang M, Yang T, Wei M, Deng X, Meng W, Wang Z.",Trials.  2017,PMID:28747220 | PMCID:PMC5530577,28747220
"The role of primary tumour sidedness, EGFR gene copy number and EGFR promoter methylation in RAS/BRAF wild-type colorectal cancer patients receiving irinotecan/cetuximab.","Demurtas L, Puzzoni M, Giampieri R, Ziranu P, Pusceddu V, Mandolesi A, Cremolini C, Masi G, Gelsomino F, Antoniotti C, Loretelli C, Meriggi F, Zaniboni A, Falcone A, Cascinu S, Scartozzi M.",Br J Cancer.  2017,PMID:28632725 | PMCID:PMC5537494,28632725
Precision Medicine in Metastatic Colorectal Cancer: Relevant Carcinogenic Pathways and Targets-PART 1: Biologic Therapies Targeting the Epidermal Growth Factor Receptor and Vascular Endothelial Growth Factor.,"Weinberg BA, Hartley ML, Salem ME.",Oncology (Williston Park).  2017,PMID:28712098,28712098
Extensive colorectal lymphomatous polyposis complicated by acute intestinal obstruction: a case report.,"Waisberg J, Anderi ADV, Cardoso PAS, Borducchi JHM, Germini DE, Franco MIF, Vasconcellos C.",J Med Case Rep.  2017,PMID:28705174 | PMCID:PMC5513077,28705174
Changes in trends in colorectal cancer incidence rate by anatomic site between 1978 and 2004 in Japan.,"Nakagawa H, Ito H, Hosono S, Oze I, Mikami H, Hattori M, Nishino Y, Sugiyama H, Nakata K, Tanaka H.",Eur J Cancer Prev.  2017,PMID:27149637,27149637
[Comparison of clinicopathological features and prognosis between left-sided colon cancer and right-sided colon cancer].,"Gao X, Yu G, Liu P, Hao L, Liu L, Zhang W.",Zhonghua Wei Chang Wai Ke Za Zhi.  2017,PMID:28643309,28643309
Pancreas preserving distal duodenectomy: A versatile operation for a range of infra-papillary pathologies.,"Mitchell WK, Thomas PF, Zaitoun AM, Brooks AJ, Lobo DN.",World J Gastroenterol.  2017,PMID:28694665 | PMCID:PMC5483499,28694665
Atypical presentation of sigmoid carcinoma.,"Malta W, Pereira S, Gaspar J, Silva AC, Costa M.",J Surg Case Rep.  2017,PMID:28596823 | PMCID:PMC5457965,28596823
The Usefulness of Intraoperative Colonic Irrigation and Primary Anastomosis in Patients Requiring a Left Colon Resection.,"Hong Y, Nam S, Kang JG.",Ann Coloproctol.  2017,PMID:28761871 | PMCID:PMC5534493,28761871
Diagnostic performance of flexible sigmoidoscopy combined with fecal immunochemical test in colorectal cancer screening: meta-analysis and modeling.,"Niedermaier T, Weigl K, Hoffmeister M, Brenner H.",Eur J Epidemiol.  2017,PMID:28667446,28667446
Association Between Screen-Detected Gallstone Disease and Cancer in a Cohort Study.,"Shabanzadeh DM, Sørensen LT, Jørgensen T.",Gastroenterology.  2017,PMID:28238770,28238770
"Chromosome 20q Amplification Defines a Subtype of Microsatellite Stable, Left-Sided Colon Cancers with Wild-type RAS/RAF and Better Overall Survival.","Ptashkin RN, Pagan C, Yaeger R, Middha S, Shia J, O'Rourke KP, Berger MF, Wang L, Cimera R, Wang J, Klimstra DS, Saltz L, Ladanyi M, Zehir A, Hechtman JF.",Mol Cancer Res.  2017,PMID:28184012 | PMCID:PMC5588907,28184012
Serrated adenocarcinoma morphology in colorectal mucinous adenocarcinoma is associated with improved patient survival.,"Lee CT, Huang YC, Hung LY, Chow NH, Su PF, Ho CL, Tsai HW, Chen YL, Lin SC, Lin BW, Lin PC, Lee JC.",Oncotarget.  2017,PMID:28422723 | PMCID:PMC5471043,28422723
Survival and Prognostic Factors for Metachronous Peritoneal Metastasis in Patients with Colon Cancer.,"Nagata H, Ishihara S, Hata K, Murono K, Kaneko M, Yasuda K, Otani K, Nishikawa T, Tanaka T, Kiyomatsu T, Kawai K, Nozawa H, Watanabe T.",Ann Surg Oncol.  2017,PMID:27995451,27995451
Cecal carcinoid tumor in a nigerian man: A case report and review of literature.,"Obateru OA, Taiwo JA, Oladejo S, Awelimobor DA, Fadaunsi OO, Olokoba AB.",Niger J Clin Pract.  2017,PMID:28513526,28513526
Sidedness is prognostic in locoregional colon cancer: an analysis of 9509 Australian patients.,"Brungs D, Aghmesheh M, de Souza P, Ng W, Chua W, Carolan M, Clingan P, Healey E, Rose J, Tubaro T, Ranson M.",BMC Cancer.  2017,PMID:28390415 | PMCID:PMC5385038,28390415
PROGNOSTIC FACTORS FOR LEFT COLECTOMY FOR COLON CANCER: A TEN YEARS EXPERIENCE OF A SINGLE UNIVERSITY INSTITUTION.,"Nahas SC, Nahas CS, Bustamante-Lopez LA, Pinto RA, Marques CFS, Campos FG, Cecconello I.",Arq Bras Cir Dig.  2017,PMID:29257844 | PMCID:PMC5543787,29257844
Association of DNA Mismatch Repair and Mutations in BRAF and KRAS With Survival After Recurrence in Stage III Colon Cancers : A Secondary Analysis of 2 Randomized Clinical Trials.,"Sinicrope FA, Shi Q, Allegra CJ, Smyrk TC, Thibodeau SN, Goldberg RM, Meyers JP, Pogue-Geile KL, Yothers G, Sargent DJ, Alberts SR.",JAMA Oncol.  2017,PMID:28006055 | PMCID:PMC5498991,28006055
A Rare Type of Colorectal Cancer: Mixed Adeno-Neuroendocrine Carcinoma (MANEC).,"Cherbanyk F, Gassend JL, Dimitrief M, Andrejevic-Blant S, Martinet O, Pezzetta E.",Chirurgia (Bucur).  2017,PMID:28463674,28463674
Are there differences in outcome after elective sigmoidectomy for diverticular disease and for cancer? A national inpatient study.,"Ilyas MI, Zangbar B, Nfonsam VN, Maegawa FA, Joseph BA, Patel JA, Wexner SD.",Colorectal Dis.  2017,PMID:27422847,27422847
[Does the sidedness determine the first line treatment of irresectable metastatic colorectal cancer?],"Kullmann T, Sipőcz I, Pintér T.",Orv Hetil.  2017,PMID:28245681,28245681
Postoperative mortality and morbidity in older patients undergoing emergency right hemicolectomy for colon cancer.,"Tabola R, Mantese G, Cirocchi R, Gemini A, Grassi V, Boselli C, Avenia S, Sanguinetti A, Avenia N, Sroczynski M, Wierzbicki J.",Aging Clin Exp Res.  2017,PMID:27830519,27830519
A Comprehensive Model of Colorectal Cancer by Risk Factor Status and Subsite Using Data From the Nurses' Health Study.,"Wei EK, Colditz GA, Giovannucci EL, Wu K, Glynn RJ, Fuchs CS, Stampfer M, Willett W, Ogino S, Rosner B.",Am J Epidemiol.  2017,PMID:28073766 | PMCID:PMC5391704,28073766
Complete mesocolic excision an assessment of feasibility and outcome.,Bertelsen CA.,Dan Med J.  2017,PMID:28157065,28157065
Combined robotic transanal total mesorectal excision (R-taTME) and single-site plus one-port (R-SSPO) technique for ultra-low rectal surgery-initial experience with a new operation approach.,"Kuo LJ, Ngu JC, Tong YS, Chen CC.",Int J Colorectal Dis.  2017,PMID:27744632,27744632
Colorectal cancer incidence and survival by sub-site and stage of diagnosis: a population-based study at the advent of national screening.,"McDevitt J, Comber H, Walsh PM.",Ir J Med Sci.  2017,PMID:27752924,27752924
Prognostic Survival Associated With Left-Sided vs Right-Sided Colon Cancer: A Systematic Review and Meta-analysis.,"Petrelli F, Tomasello G, Borgonovo K, Ghidini M, Turati L, Dallera P, Passalacqua R, Sgroi G, Barni S.",JAMA Oncol.  2017,PMID:27787550,27787550
Prognostic and Predictive Relevance of Primary Tumor Location in Patients With RAS Wild-Type Metastatic Colorectal Cancer: Retrospective Analyses of the CRYSTAL and FIRE-3 Trials.,"Tejpar S, Stintzing S, Ciardiello F, Tabernero J, Van Cutsem E, Beier F, Esser R, Lenz HJ, Heinemann V.",JAMA Oncol.  2017,PMID:27722750,27722750
The role of self-expandable metallic stents as "bridge to surgery" for the treatment of acute malignant colorectal obstruction. Our experience.,"Gallo G, Sammarco G, Chiriatti AP, Calabria F, Sacco R.",Ann Ital Chir.  2017,PMID:29197194,29197194
The relevance of primary tumour location in patients with metastatic colorectal cancer: A meta-analysis of first-line clinical trials.,"Holch JW, Ricard I, Stintzing S, Modest DP, Heinemann V.",Eur J Cancer.  2017,PMID:27907852,27907852
A case report of small bowel obstruction from previously undiagnosed lobular breast carcinoma: First in Australian literature.,"Cristaudo AT, Zhu KJ.",Int J Surg Case Rep.  2017,PMID:28012333 | PMCID:PMC5192033,28012333
[Transhiatal esophagectomy for cardia and esophagus cancer].,"Moiseev AY, Shulutko AM, Gryaznov SE.",Khirurgiia (Mosk).  2017,PMID:28303873,28303873
"Characteristics of Differently Located Colorectal Cancers Support Proximal and Distal Classification: A Population-Based Study of 57,847 Patients.","Yang J, Du XL, Li ST, Wang BY, Wu YY, Chen ZL, Lv M, Shen YW, Wang X, Dong DF, Li D, Wang F, Li EX, Yi M, Yang J.",PLoS One.  2016,PMID:27936129 | PMCID:PMC5147913,27936129
The Radical Extent of lymphadenectomy - D2 dissection versus complete mesocolic excision of LAparoscopic Right Colectomy for right-sided colon cancer (RELARC) trial: study protocol for a randomized controlled trial.,"Lu JY, Xu L, Xue HD, Zhou WX, Xu T, Qiu HZ, Wu B, Lin GL, Xiao Y.",Trials.  2016,PMID:27931247 | PMCID:PMC5146822,27931247
Fluorescent Angiography Used to Evaluate the Perfusion Status of Anastomosis in Laparoscopic Anterior Resection.,"Koh FH, Tan KK.",Ann Surg Oncol.  2016,PMID:27682998,27682998
Variation in Hospital-Specific Rates of Suboptimal Lymphadenectomy and Survival in Colon Cancer: Evidence from the National Cancer Data Base.,"Becerra AZ, Berho ME, Probst CP, Aquina CT, Tejani MA, Gonzalez MG, Xu Z, Swanger AA, Noyes K, Monson JR, Fleming FJ.",Ann Surg Oncol.  2016,PMID:27613558,27613558
The prognostic implications of primary colorectal tumor location on recurrence and overall survival in patients undergoing resection for colorectal liver metastasis.,"Sasaki K, Andreatos N, Margonis GA, He J, Weiss M, Johnston F, Wolfgang C, Antoniou E, Pikoulis E, Pawlik TM.",J Surg Oncol.  2016,PMID:27792291,27792291
Evaluation of the patients with colorectal cancer undergoing emergent curative surgery.,"Kundes F, Kement M, Cetin K, Kaptanoglu L, Kocaoglu A, Karahan M, Yegen SF, Atici AE, Civil O, Eser M, Cakir T, Bildik N.",Springerplus.  2016,PMID:27995001 | PMCID:PMC5125280,27995001
Surgical treatment of recurrent urachal carcinoma with liver metastasis: a case report and literature review.,"Paschke L, Juszczak M, Slupski M.",World J Surg Oncol.  2016,PMID:27894318 | PMCID:PMC5126806,27894318
[A Case of Long-Term Survival of Resected Pancreatic Metastasis from Colon Cancer].,"Tokuyama S, Yoshioka S, Fukunaga M, Honda S, Yukimoto R, Okamoto A, Saito A, Konishi K, Okada K, Ota H, Yokoyama K, Miki H, Kobayashi K.",Gan To Kagaku Ryoho.  2016,PMID:28133354,28133354
[Long-Term Survival in Response to Multimodality Therapy in a Patient with Invasive Pancreatic Cancer with Cyst Formation].,"Makino H, Kametaka H, Fukada T, Seike K, Hasegawa A, Isozaki M.",Gan To Kagaku Ryoho.  2016,PMID:28133201,28133201
[Four Cases of Colorectal Cancer with Para-Aortic Lymph Node Metastases Successfully Resected Resulting in Long-Term Survival].,"Yamamoto Y, Aoki M, Nakao K, Shitara K, Hayashi T, Fukunari H, Watanabe G, Ajioka Y.",Gan To Kagaku Ryoho.  2016,PMID:28133109,28133109
Nationwide implementation of laparoscopic surgery for colon cancer: short-term outcomes and long-term survival in a population-based cohort.,"Stormark K, Søreide K, Søreide JA, Kvaløy JT, Pfeffer F, Eriksen MT, Nedrebø BS, Kørner H.",Surg Endosc.  2016,PMID:26905577,26905577
Secondary metastasis in the lymph node of the bowel invaded by colon cancer: a report of three cases.,"Takiyama A, Nozawa H, Ishihara S, Takiyama H, Murono K, Yasuda K, Otani K, Nishikawa T, Tanaka T, Kiyomatsu T, Kawai K, Hata K, Watanabe T.",World J Surg Oncol.  2016,PMID:27782839 | PMCID:PMC5080717,27782839
Prognostic Implication of KRAS Status after Hepatectomy for Colorectal Liver Metastases Varies According to Primary Colorectal Tumor Location.,"Sasaki K, Margonis GA, Wilson A, Kim Y, Buettner S, Andreatos N, Gani F, Amini N, Spolverato G, Pawlik TM.",Ann Surg Oncol.  2016,PMID:27352204,27352204
Achieving low anastomotic leak rates utilizing clinical perfusion assessment.,"Kream J, Ludwig KA, Ridolfi TJ, Peterson CY.",Surgery.  2016,PMID:27499148,27499148
Transmural Colonic Infarction after Routine Colonoscopy in a Young Patient without Risk Factors.,"Zizzo M, Castro Ruiz C, Ugoletti L, Giunta A, Bonacini S, Manzini L, Aguzzoli F, Colognesi A, Pedrazzoli C.",Case Rep Gastroenterol.  2016,PMID:27721736 | PMCID:PMC5043165,27721736
Right colon cancer: Left behind.,"Gervaz P, Usel M, Rapiti E, Chappuis P, Neyroud-Kaspar I, Bouchardy C.",Eur J Surg Oncol.  2016,PMID:27178778,27178778
The impact of BMI on early colorectal neoplastic lesions and the role of endoscopic diagnosis:. An Italian observational study.,"Cannistrà M, Ruggiero M, Grande R, Sireno E, Colace R, Calabria RD, Guido A, Rizzuto A, Sacco R, Serra R, Sammarco G.",Int J Surg.  2016,PMID:27250694,27250694
Patterns and outcomes of colorectal cancer in adolescents and young adults.,"Teng A, Lee DY, Cai J, Patel SS, Bilchik AJ, Goldfarb MR.",J Surg Res.  2016,PMID:27620994,27620994
Emergency management with resection versus proximal stoma or stent treatment and planned resection in malignant left-sided colon obstruction.,"Öistämö E, Hjern F, Blomqvist L, Falkén Y, Pekkari K, Abraham-Nordling M.",World J Surg Oncol.  2016,PMID:27577887 | PMCID:PMC5006427,27577887
"High prevalence of advanced colorectal neoplasia in the Thai population: a prospective screening colonoscopy of 1,404 cases.","Siripongpreeda B, Mahidol C, Dusitanond N, Sriprayoon T, Muyphuag B, Sricharunrat T, Teerayatanakul N, Chaiwong W, Worasawate W, Sattayarungsee P, Sangthongdee J, Prarom J, Sornsamdang G, Soonklang K, Wittayasak K, Auewarakul CU.",BMC Gastroenterol.  2016,PMID:27553627 | PMCID:PMC4995664,27553627
Tumor LINE-1 methylation level and colorectal cancer location in relation to patient survival.,"Mima K, Nowak JA, Qian ZR, Cao Y, Song M, Masugi Y, Shi Y, da Silva A, Gu M, Li W, Hamada T, Zhang X, Wu K, Meyerhardt JA, Baba H, Giovannucci EL, Chan AT, Fuchs CS, Ogino S, Nishihara R.",Oncotarget.  2016,PMID:27391152 | PMCID:PMC5342404,27391152
No benefit of extended mesenteric resection with central vascular ligation in right-sided colon cancer.,"Olofsson F, Buchwald P, Elmståhl S, Syk I.",Colorectal Dis.  2016,PMID:26896151,26896151
Endoscopic submucosal dissection for flat or sessile colorectal neoplasia > 20 mm: A European single-center series of 182 cases.,"Sauer M, Hildenbrand R, Oyama T, Sido B, Yahagi N, Dumoulin FL.",Endosc Int Open.  2016,PMID:27540580 | PMCID:PMC4988858,27540580
Variability in the lymph node retrieval after resection of colon cancer: Influence of operative period and process.,"Choi JP, Park IJ, Lee BC, Hong SM, Lee JL, Yoon YS, Kim CW, Lim SB, Lee JB, Yu CS, Kim JC.",Medicine (Baltimore).  2016,PMID:27495024 | PMCID:PMC4979778,27495024
A radiological and pathological assessment of ileocolic pedicle length as a predictor of lymph node retrieval following right hemicolectomy for caecal cancer.,"Solon JG, Cahalane A, Burke JP, Gibbons D, McCann JW, Martin ST, Sheahan K, Winter DC.",Tech Coloproctol.  2016,PMID:27231119,27231119
[Technique of Mesohepatectomy].,"Huber T, Bartsch F, Lang H.",Zentralbl Chir.  2016,PMID:27556427,27556427
Optimum level of inferior mesenteric artery ligation for the left-sided colorectal cancer. Systematic review for high and low ligation continuum.,Guraya SY.,Saudi Med J.  2016,PMID:27381531 | PMCID:PMC5018635,27381531
Comparison of Long-Term Outcomes Between Emergency Surgery and Bridge to Surgery for Malignant Obstruction in Right-Sided Colon Cancer: A Multicenter Retrospective Study.,"Kye BH, Lee YS, Cho HM, Kim JG, Oh ST, Lee IK, Kang WK, Ahn CH, Lee SC, Park JK, Kim HJ.",Ann Surg Oncol.  2016,PMID:26812909,26812909
Impact of Primary Tumor Site on Bevacizumab Efficacy in Metastatic Colorectal Cancer.,"Wong HL, Lee B, Field K, Lomax A, Tacey M, Shapiro J, McKendrick J, Zimet A, Yip D, Nott L, Jennens R, Richardson G, Tie J, Kosmider S, Parente P, Lim L, Cooray P, Tran B, Desai J, Wong R, Gibbs P.",Clin Colorectal Cancer.  2016,PMID:26968236,26968236
High-Grade Neuroendocrine Colorectal Carcinomas: A Retrospective Study of 100 Patients.,"Conte B, George B, Overman M, Estrella J, Jiang ZQ, Mehrvarz Sarshekeh A, Ferrarotto R, Hoff PM, Rashid A, Yao JC, Kopetz S, Dasari A.",Clin Colorectal Cancer.  2016,PMID:26810202 | PMCID:PMC4885752,26810202
Apical lymph node dissection of the inferior mesenteric artery.,"Goh N, Fong SS, How KY, Wong KY, Loong TH, Tay GT.",Colorectal Dis.  2016,PMID:26880360,26880360
Primary tumor site is a useful predictor of cetuximab efficacy in the third-line or salvage treatment of KRAS wild-type (exon 2 non-mutant) metastatic colorectal cancer: a nationwide cohort study.,"Chen KH, Shao YY, Chen HM, Lin YL, Lin ZZ, Lai MS, Cheng AL, Yeh KH.",BMC Cancer.  2016,PMID:27221731 | PMCID:PMC4879738,27221731
Ten-Year Survival of a Patient Treated with Stereotactic Gamma Knife Radiosurgery for Brain Metastases from Colon Cancer with Ovarian and Lymph Node Metastases: A Case Report.,"Morinaga N, Tanaka N, Shitara Y, Ishizaki M, Yoshida T, Kouga H, Wakabayashi K, Fukuchi M, Tsunoda Y, Kuwano H.",Case Rep Gastroenterol.  2016,PMID:27403125 | PMCID:PMC4929373,27403125
Extended right hemicolectomy and left hemicolectomy for colorectal cancers between the distal transverse and proximal descending colon.,"Gravante G, Elshaer M, Parker R, Mogekwu AC, Drake B, Aboelkassem A, Rahman EU, Sorge R, Alhammali T, Gardiner K, Al-Hamali S, Rashed M, Kelkar A, Agarwal R, El-Rabaa S.",Ann R Coll Surg Engl.  2016,PMID:27023638 | PMCID:PMC5227032,27023638
"Molecular Subtypes of Colorectal Cancer and Their Clinicopathologic Features, With an Emphasis on the Serrated Neoplasia Pathway.","Bae JM, Kim JH, Kang GH.",Arch Pathol Lab Med.  2016,PMID:27128298,27128298
The Clinicopathologic Features and Treatment of 607 Hindgut Neuroendocrine Tumor (NET) Patients at a Single Institution.,"Kim ST, Ha SY, Lee J, Hong SN, Chang DK, Kim YH, Park YA, Huh JW, Cho YB, Yun SH, Lee WY, Kim HC, Park YS.",Medicine (Baltimore).  2016,PMID:27175651 | PMCID:PMC4902493,27175651
Treatment and Survival of Small-bowel Adenocarcinoma in the United States: A Comparison With Colon Cancer.,"Young JI, Mongoue-Tchokote S, Wieghard N, Mori M, Vaccaro GM, Sheppard BC, Tsikitis VL.",Dis Colon Rectum.  2016,PMID:26953989,26953989
Short-term and long-term outcomes of single-incision versus multi-incision laparoscopic resection for colorectal cancer: a propensity-score-matched analysis of 214 cases.,"Katsuno G, Fukunaga M, Nagakari K, Yoshikawa S, Azuma D, Kohama S.",Surg Endosc.  2016,PMID:26139507,26139507
Organized colorectal cancer screening in Serbia - the first round within 2013-2014.,"Banković Lazarević D, Krivokapić Z, Barišić G, Jovanović V, Ilić D, Veljković M.",Vojnosanit Pregl.  2016,PMID:29309104,29309104
Level of arterial ligation in sigmoid colon and rectal cancer surgery.,"Yasuda K, Kawai K, Ishihara S, Murono K, Otani K, Nishikawa T, Tanaka T, Kiyomatsu T, Hata K, Nozawa H, Yamaguchi H, Aoki S, Mishima H, Maruyama T, Sako A, Watanabe T.",World J Surg Oncol.  2016,PMID:27036117 | PMCID:PMC4818479,27036117
Short-term and oncologic outcomes of laparoscopic and open complete mesocolic excision and central ligation.,"Kim IY, Kim BR, Choi EH, Kim YW.",Int J Surg.  2016,PMID:26850326,26850326
Self-Expanding Metallic Stents (SEMS) in Left-Sided Colonic Cancer--a Cancer Center Experience.,"Saeed KM, Zafar W, Masood MA, Khattak S, Syed AA, Yusuf MA.",J Gastrointest Cancer.  2016,PMID:26691172,26691172
Factors associated with failure of enhanced recovery programs after laparoscopic colon cancer surgery: a single-center retrospective study.,"Oh HK, Ihn MH, Son IT, Park JT, Lee J, Kim DW, Kang SB.",Surg Endosc.  2016,PMID:26238087,26238087
The Impact of PD-L1 Expression in Patients with Metastatic GEP-NETs.,"Kim ST, Ha SY, Lee S, Ahn S, Lee J, Park SH, Park JO, Lim HY, Kang WK, Kim KM, Park YS.",J Cancer.  2016,PMID:26958083 | PMCID:PMC4780123,26958083
"The effect of neoadjuvant therapy on the size, number, and distribution of mesorectal lymph nodes.","Yegen G, Keskin M, Büyük M, Kunduz E, Balık E, Sağlam EK, Kapran Y, Asoğlu O, Güllüoğlu M.",Ann Diagn Pathol.  2016,PMID:26706785,26706785
Current indications for the Hartmann procedure.,"Barbieux J, Plumereau F, Hamy A.",J Visc Surg.  2016,PMID:26868514,26868514
Single-incision laparoscopic surgery for colorectal cancer.,"Hirano Y, Hattori M, Douden K, Ishiyama Y, Hashizume Y.",World J Gastrointest Surg.  2016,PMID:26843918 | PMCID:PMC4724593,26843918
Clinicopathologic Risk Factor Distributions for MLH1 Promoter Region Methylation in CIMP-Positive Tumors.,"Levine AJ, Phipps AI, Baron JA, Buchanan DD, Ahnen DJ, Cohen SA, Lindor NM, Newcomb PA, Rosty C, Haile RW, Laird PW, Weisenberger DJ.",Cancer Epidemiol Biomarkers Prev.  2016,PMID:26512054 | PMCID:PMC4713308,26512054
Sigmoid colonic metastasis by lymphatic spread occurring with unilateral Krukenberg tumor considered to be caused by stage IA early gastric cancer: A case report.,"Fujimoto D, Hirono Y, Goi T, Yamaguchi A.",Oncol Lett.  2016,PMID:26870264 | PMCID:PMC4727168,26870264
Laparoscopic Left Hemicolectomy for Colon Cancer in Peritoneal Dialysis Patients: A Valid and Safe Surgical Technique to Ensure Peritoneal Dialysis Survival.,"Auricchio S, Mari G, Galassi A, Dozio B, Pozzi M, Maggioni D, Scanziani R.",Perit Dial Int.  2016,PMID:27903856 | PMCID:PMC5174882,27903856
Cáncer colorrectal en los jóvenes: factores pronósticos y características clínico patológicas en un instituto del cáncer de Perú.,"Ruiz R, Taxa L, Ruiz EF, Mantilla R, Casanova L, Montenegro P.",Rev Gastroenterol Peru.  2016,PMID:27131939,27131939
Total mesorectal excision for the treatment of rectal cancer.,"Zedan A, Salah T.",Electron Physician.  2015,PMID:26816592 | PMCID:PMC4725422,26816592
Analysis of Molecular Markers by Anatomic Tumor Site in Stage III Colon Carcinomas from Adjuvant Chemotherapy Trial NCCTG N0147 (Alliance).,"Sinicrope FA, Mahoney MR, Yoon HH, Smyrk TC, Thibodeau SN, Goldberg RM, Nelson GD, Sargent DJ, Alberts SR; Alliance for Clinical Trials in Oncology..",Clin Cancer Res.  2015,PMID:26187617 | PMCID:PMC4668228,26187617
Predictors of long-term survival in patients with stage IV colorectal cancer with multi-organ metastases: a single-center retrospective analysis.,"Miyamoto Y, Hayashi N, Sakamoto Y, Ohuchi M, Tokunagam R, Kurashige J, Hiyoshi Y, Baba Y, Iwagami S, Yoshida N, Yoshida M, Baba H.",Int J Clin Oncol.  2015,PMID:25947545,25947545
The impact of colorectal screening program on the detection of right-sided colorectal cancer. A 5-year cohort study in the Mantua District.,"Asteria CR, Pucciarelli S, Gerard L, Mantovani N, Pagani M, Boccia L, Ricci P, Troiano L, Lucchini G, Pulica C.",Int J Colorectal Dis.  2015,PMID:26255258,26255258
[Long-Term Survival of a Patient with Colon Cancer with Peritoneal Dissemination].,"Takada J, Kii S, Honma T, Kina M, Masuko H.",Gan To Kagaku Ryoho.  2015,PMID:26805283,26805283
[A Case of Resection of Para-Aortic Lymph Node Recurrence and Peritoneal Recurrence Following Sigmoid Colon Cancer Surgery].,"Yabe N, Murai S, Yokose T, Oto I, Yoshikawa T, Kitasato K, Shimizu H, Kojima K, Hasegawa H, Kitagawa Y.",Gan To Kagaku Ryoho.  2015,PMID:26805110,26805110
Clinical significance of perineural invasion in stages II and III colorectal cancer.,"Zhou Y, Wang H, Gong H, Cao M, Zhang G, Wang Y.",Pathol Res Pract.  2015,PMID:26429129,26429129
Total esophagogastrectomy in the neoplasms of the esophagus and esofagogastric junction: when must be indicated?,"Andreollo NA, Coelho Neto Jde S, Calomeni GD, Lopes LR, Tercioti Junior V.",Rev Col Bras Cir.  2015,PMID:26814986,26814986
Repeat hepatectomy with inferior vena cava re-resection for colorectal liver metastases: case report and review of the literature.,"Marangoni G, Hakeem A, Khan A, Rotimi O, Lodge JP.",Surg Today.  2015,PMID:25466296,25466296
Gastrocolic fistula secondary to adenocarcinoma of the transverse colon: a case report.,"Vergara-Fernández O, Gutiérrez-Grobe Y, Lavenant-Borja M, Rojas C, Méndez-Sánchez N.",J Med Case Rep.  2015,PMID:26567877 | PMCID:PMC4644322,26567877
Total esophagogastrectomy plus extended lymphadenectomy with transverse colon interposition: A treatment for extensive esophagogastric junction cancer.,"Ceroni M, Norero E, Henríquez JP, Viñuela E, Briceño E, Martínez C, Aguayo G, Araos F, González P, Díaz A, Caracci M.",World J Hepatol.  2015,PMID:26464757 | PMCID:PMC4598612,26464757
Outcomes of Colostomy Reversal in a Public Safety Net Hospital: The End or Beginning of a New Problem?,"Adam N, Rahbar S, Skinner R.",Am Surg.  2015,PMID:26463313,26463313
Defining characteristics of patients with colorectal cancer requiring emergency surgery.,"Askari A, Malietzis G, Nachiappan S, Antoniou A, Jenkins J, Kennedy R, Faiz O.",Int J Colorectal Dis.  2015,PMID:26169634,26169634
An investigation of the rate of cyclooxygenase-2 expression on the surface of adenomatous and colorectal adenocarcinoma polyps.,"Baghaei R, Beiraghdar M, Sobhani A, Rafei R, Kolahi L, Foladi L.",Adv Biomed Res.  2015,PMID:26601088 | PMCID:PMC4620610,26601088
An atypical presentation of colonic malignancy: Clostridium septicum aortitis.,"Tabasum A, Bleehen R, Healy B, George L.",BMJ Case Rep.  2015,PMID:26374774 | PMCID:PMC4577689,26374774
Rectal and colon cancer: Not just a different anatomic site.,"Tamas K, Walenkamp AM, de Vries EG, van Vugt MA, Beets-Tan RG, van Etten B, de Groot DJ, Hospers GA.",Cancer Treat Rev.  2015,PMID:26145760,26145760
A prognostic analysis of 895 cases of stage III colon cancer in different colon subsites.,"Zhang Y, Ma J, Zhang S, Deng G, Wu X, He J, Pei H, Shen H, Zeng S.",Int J Colorectal Dis.  2015,PMID:26054387,26054387
Intrapancreatic bile duct metastasis from colon cancer after resection of liver metastasis with intrabiliary growth: a case report.,"Kawakatsu S, Kaneoka Y, Maeda A, Takayama Y, Fukami Y, Onoe S.",World J Surg Oncol.  2015,PMID:26293132 | PMCID:PMC4546141,26293132
Application of transanal ileus tube in acute obstructive left-sided colorectal cancer.,"Zhang N, Zhou ZL, Xie JL.",Int J Clin Exp Med.  2015,PMID:26550362 | PMCID:PMC4613047,26550362
Optical diagnosis of small colorectal polyps during colonoscopy: when to resect and discard?,Wilson A.,Best Pract Res Clin Gastroenterol.  2015,PMID:26381308,26381308
Is Radical Bowel Cancer Resection Under Local Anaesthesia and Sedation Feasible?,"Sebastian J, Sran H, Marzouk D.",Indian J Surg.  2015,PMID:26702231 | PMCID:PMC4688268,26702231
High-dose chemoradiotherapy and watchful waiting for distal rectal cancer: a prospective observational study.,"Appelt AL, Pløen J, Harling H, Jensen FS, Jensen LH, Jørgensen JC, Lindebjerg J, Rafaelsen SR, Jakobsen A.",Lancet Oncol.  2015,PMID:26156652,26156652
